id,name,category,subcategory,address,lat,lng,phone,operating_hours,status,source_date
521,창경빌딩,공중화장실,개방화장실,경기도 수원시 장안구 경수대로 862(조원동),37.2977837746,127.014014589,,정시,영업,20231219
522,캠퍼스프라자,공중화장실,개방화장실,경기도 수원시 영통구 월드컵로 199(원천동),37.2792179277,127.0441733053,,정시,영업,20231219
523,경기도청,공중화장실,공중화장실,경기도 수원시 팔달구 효원로 1 (매산로3가,37.274663047,127.0096288709,,정시,영업,20231219
524,키라빌딩,공중화장실,개방화장실,경기도 수원시 영통구 청명남로 31(영통동),37.2529678564,127.0752963703,,상시,영업,20231219
525,터미널타워빌딩,공중화장실,개방화장실,경기도 수원시 팔달구 갓매산로 91(매산로1가),37.2701456731,127.0006688922,,상시,영업,20231219
526,팔달노인복지관 2층,공중화장실,공중화장실,경기도 수원시 팔달구 수원천로 343(북수동),37.2839431148,127.0173638025,,정시,영업,20231219
527,팔달노인복지관 2층,공중화장실,공중화장실,경기도 수원시 팔달구 수원천로 343(북수동),37.2839431148,127.0173638025,,정시,영업,20231219
528,팔달노인복지관 지하1층,공중화장실,공중화장실,경기도 수원시 팔달구 수원천로 343(북수동),37.2839431148,127.0173638025,,정시,영업,20231219
529,팔달노인복지관 지하1층,공중화장실,공중화장실,경기도 수원시 팔달구 수원천로 343(북수동),37.2839431148,127.0173638025,,정시,영업,20231219
530,팔달문,공중화장실,공중화장실,경기도 수원시 팔달구 팔달로3가 103(행궁동),37.2773089793,127.0151840094,,상시,영업,20231219
531,팔달문시장 고객지원센터,공중화장실,공중화장실,경기도 수원시 팔달구 팔달문로9(팔달로2가),37.2777461119,127.018486255,,정시,영업,20231219
532,평동그린주유소,공중화장실,공중화장실,경기도 수원시 권선구 매송고색로 864 (평동),37.2576745917,126.997401946,,정시,영업,20231219
533,평동행정복지센터,공중화장실,공중화장실,경기도 수원시 권선구 수원시 권선구 평동로76번길 13(평동),37.2580574112,126.9941628792,,정시,영업,20231219
534,푸른현대주유소,공중화장실,공중화장실,경기도 수원시 팔달구 팔달로 137 (화서동),37.2807808349,127.0046596128,,상시,영업,20231219
535,하늘에너지(주)대창주유소,공중화장실,공중화장실,경기도 수원시 팔달구 경수대로 682(우만동),37.2862916244,127.0275132632,,상시,영업,20231219
536,한독병원,공중화장실,공중화장실,"경기도 수원시 팔달구 경수대로 487, 한독병원 (인계동)",37.269641747,127.027222564,,정시,영업,20231219
537,한미석유 동수원톨게이트,공중화장실,공중화장실,경기도 수원시 영통구 창룡대로 363(이의동),37.2958722011,127.0479766628,,상시,영업,20231219
538,항아리,공중화장실,공중화장실,경기도 수원시 장안구 파장천로144-8(파장동),37.3163693904,127.0029251635,,상시,영업,20231219
539,해누리,공중화장실,공중화장실,경기도 수원시 팔달구 수인로341번길 17(입북동),37.2860695002,126.9667424799,,상시,영업,20231219
540,북수원도서관 2층,공중화장실,공중화장실,경기도 수원시 장안구 만석로 65(정자동),37.2978570353,126.9886160241,,정시,영업,20231219
541,북수원도서관 3층,공중화장실,공중화장실,경기도 수원시 장안구 만석로 65(정자동),37.2978570353,126.9886160241,,정시,영업,20231219
542,북수원셀프주유소,공중화장실,공중화장실,경기도 수원시 장안구 서부로 2201 (율전동),37.3047362013,126.9725460998,,상시,영업,20231219
543,북수원톨게이트충전소,공중화장실,공중화장실,"경기도 수원시 장안구 경수대로 1184, 주유소 (파장동)",37.3164893197,126.9887606834,,정시,영업,20231219
544,비행장주유소,공중화장실,공중화장실,경기도 수원시 권선구 정조로 291(대황교동),37.2360379834,127.0183458018,,정시,영업,20231219
545,북수원도서관 1층,공중화장실,공중화장실,경기도 수원시 장안구 만석로 65(정자동),37.2978570353,126.9886160241,,정시,영업,20231219
546,산아래,공중화장실,공중화장실,경기도 수원시 팔달구 팔달산로 131(화서1동),37.2801913128,127.008115276,,상시,영업,20231219
547,트리플렉스,공중화장실,개방화장실,경기도 수원시 영통구 매영로 345번길 7(영통동),37.252771725,127.0708997024,,상시,영업,20231219
548,파크프라자,공중화장실,개방화장실,경기도 수원시 장안구 대평로 128(정자동),37.2989323114,126.9913167079,,상시,영업,20231219
549,풍성프라자,공중화장실,개방화장실,경기도 수원시 팔달구 덕영대로 693(화서동),37.2849109266,126.9902040266,,상시,영업,20231219
550,필드스크린 골프존,공중화장실,개방화장실,경기도 수원시 권선구 서부로 1858(구운동),37.2744910166,126.969722999,,상시,영업,20231219
551,하이디프라자,공중화장실,개방화장실,경기도 수원시 권선구 곡선로49번길2(곡반정동),37.2390242915,127.0302324212,,정시,영업,20231219
552,호반프라자,공중화장실,개방화장실,경기도 수원시 영통구 월드컵로 87번길 7(원천동),37.2737860966,127.0545831553,,상시,영업,20231219
553,SK청솔노인복지관 2층,공중화장실,공중화장실,경기도 수원시 장안구 장안로 174번지(정자동),37.2989849031,126.9972964456,,정시,영업,20231219
554,경희주유소,공중화장실,공중화장실,경기도 수원시 영통구 덕영대로 1729(영통동),37.2485248737,127.0806096104,,정시,영업,20231219
555,고등파출소,공중화장실,공중화장실,경기도 수원시 팔달구 고등로 50 (고등등),37.2730647826,127.0024768643,,상시,영업,20231219
556,고래의 모험,공중화장실,공중화장실,경기도 수원시 팔달구 덕영대로1070번길 56(세류동),37.2524865024,127.0090847859,,상시,영업,20231219
557,고색119안전센터,공중화장실,공중화장실,"경기도 수원시 권선구 서부로 1614, 수원중부소방서 고색파출소 (고색동)",37.2532070297,126.9753186886,,정시,영업,20231219
558,고색자연주유소,공중화장실,공중화장실,경기도 수원시 권선구 매송고색로 638 (고색동),37.2485977337,126.9747041673,,상시,영업,20231219
559,고색파출소,공중화장실,공중화장실,"경기도 수원시 권선구 매송고색로 750, 고색파출소 (고색동)",37.2520563199,126.9862983947,,상시,영업,20231219
560,해우재,공중화장실,공중화장실,경기도 수원시 장안구 장안로 463(이목동),37.3186593053,126.9779000172,,상시,영업,20231219
561,행궁동행정복지센터,공중화장실,공중화장실,경기도 수원시 팔달구 신풍로23번길 40(신풍동),37.2840499862,127.012647674,,정시,영업,20231219
562,행궁파출소,공중화장실,공중화장실,경기도 수원시 팔달구 창룡대로 48(남수동),37.283067249,127.0214304935,,상시,영업,20231219
563,행복한들,공중화장실,공중화장실,경기도 수원시 영통구 광교호수로 127(하동),37.2806790666,127.0659922329,,상시,영업,20231219
564,행정타운주유소,공중화장실,공중화장실,경기도 수원시 권선구 권선로 98 (호매실동),37.2609675726,126.9631528186,,상시,영업,20231219
565,현대석유 서광주유소,공중화장실,공중화장실,"경기도 수원시 장안구 서부로 2370 (이목동, LG주유소)",37.3165570611,126.9836026073,,상시,영업,20231219
566,현대오일뱅크(주)직영 수원제일주유소,공중화장실,공중화장실,경기도 수원시 팔달구 권광로 273 (인계동),37.2717656566,127.035476897,,정시,영업,20231219
567,형제주유소,공중화장실,공중화장실,경기도 수원시 권선구 수인로 446 (입북동),37.2926866675,126.9590125744,,정시,영업,20231219
568,혜령,공중화장실,공중화장실,경기도 수원시 영통구 에듀타운로 91(이의동),37.2882360218,127.0452583526,,정시,영업,20231219
569,호매실도서관,공중화장실,공중화장실,경기도 수원시 권선구 칠보로 169(호매실동),37.2664151547,126.9579148455,,정시,영업,20231219
570,삼성주유소,공중화장실,공중화장실,경기도 수원시 영통구 매영로 248(원천동),37.2591753722,127.0645142689,,정시,영업,20231219
571,상수도사업소 청사(1층),공중화장실,공중화장실,경기도 수원시 장안구 광교산로119(하광교동),37.3015156198,127.0287560312,,정시,영업,20231219
572,새한주유소,공중화장실,공중화장실,경기도 수원시 장안구 서부로 2348(이목동),37.3151622127,126.9820660214,,정시,영업,20231219
573,샛길,공중화장실,공중화장실,경기도 수원시 권선구 권중로 66(권선동),37.2520617078,127.0310423076,,상시,영업,20231219
574,곡선동우체국,공중화장실,공중화장실,경기도 수원시 권선구 권중로 81(권선동),37.2516061465,127.0298160321,,정시,영업,20231219
575,곡선동행정복지센터,공중화장실,공중화장실,경기도 수원시 권선구 동수원로146번길 174(곡반정동),37.2433271896,127.0333288642,,정시,영업,20231219
576,곡선지구대,공중화장실,공중화장실,경기도 수원시 권선구 권중로 77번길(권선동),37.2518413096,127.0300175418,,상시,영업,20231219
577,골든벨주유소,공중화장실,공중화장실,경기도 수원시 권선구 서부로 1650 (고색동),37.2560781366,126.9743402502,,상시,영업,20231219
578,관리사무소,공중화장실,공중화장실,경기도 수원시 영통구 광교호수공원로 102 (하동),37.2751003212,127.0637796103,,상시,영업,20231219
579,광교1동행정복지센터,공중화장실,공중화장실,경기도 수원시 영통구 도청로89번길 20(이의동),37.2901821843,127.047390201,,정시,영업,20231219
580,광교공영주차장,공중화장실,공중화장실,경기도 수원시 장안구 광교산로 159 (하광교동),37.3014949669,127.0312658709,,정시,영업,20231219
581,구천동 공구시장,공중화장실,개방화장실,경기도 수원시 팔달구 수원천로 211(구천동),37.2727324343,127.0180106201,,정시,영업,20231219
582,용현빌딩,공중화장실,개방화장실,경기도 수원시 팔달구 중부대로15(영동),37.2754569102,127.0185685144,,정시,영업,20231219
583,일월수목원전시온실,공중화장실,공중화장실,경기도 수원시 장안구 일월로 61,37.2879263418,126.976837627,,정시,영업,20231219
584,영흥수목원 야외,공중화장실,공중화장실,경기도 수원시 영통구 영통로 435,37.2642054059,127.0719964767,,정시,영업,20231219
585,(사)한국노총,공중화장실,개방화장실,경기도 수원시 경수대로1081번길 12-4,37.3090734348,126.9935391885,,정시,영업,20231219
586,e타운1빌딩,공중화장실,개방화장실,경기도 수원시 팔달구 효원로 29,37.27085745,127.0092136722,,정시,영업,20231219
587,W타워,공중화장실,개방화장실,경기도 수원시 영통구 센트럴타운로 103(이의동),37.2921647067,127.0496121997,,정시,영업,20231219
588,호매실주유소,공중화장실,공중화장실,경기도 수원시 권선구 금호로 74 (호매실동),37.2706045896,126.9594413045,,정시,영업,20231219
589,호매실파출소,공중화장실,공중화장실,경기도 수원시 권선구 금곡로 190(금곡동),37.2731998824,126.9514482671,,상시,영업,20231219
590,홈플러스 북수원점,공중화장실,공중화장실,경기도 수원시 장안구 경수대로 930(조원동),37.3027649664,127.0088032891,,정시,영업,20231219
591,홈플러스 서수원점,공중화장실,공중화장실,"경기도 수원시 권선구 금곡로 236, 홈플러스 (금곡동)",37.2744372277,126.955883415,,정시,영업,20231219
592,홈플러스 영통점,공중화장실,공중화장실,경기도 수원시 영통구 봉영로 1576(영통동),37.2518134073,127.0726078415,,정시,영업,20231219
593,화서2동행정복지센터,공중화장실,공중화장실,경기도 수원시 팔달구 화산로6번길 6 (화서동),37.2850923518,126.9862995371,,정시,영업,20231219
594,화서다산도서관,공중화장실,공중화장실,경기도 수원시 팔달구 화양로68번길 7-35(화서동),37.2856629403,126.9974302043,,정시,영업,20231219
595,화서문,공중화장실,공중화장실,경기도 수원시 장안구 화서문로 5(영화동),37.2858005767,127.0087443599,,상시,영업,20231219
596,화서문지구대,공중화장실,공중화장실,경기도 수원시 팔달구 수성로182번길 3(화서동),37.2868436209,126.993169272,,상시,영업,20231219
597,화서역,공중화장실,공중화장실,"경기도 수원시 팔달구 덕영대로 692, 화서역 (화서동)",37.2848975846,126.9892001,,정시,영업,20231219
598,서둔119안전센터,공중화장실,공중화장실,"경기도 수원시 권선구 서호동로 48, 서둔119안전센터 (서둔동)",37.2689519067,126.99337945,,정시,영업,20231219
599,서둔동행정복지센터,공중화장실,공중화장실,경기도 수원시 권선구 서호로 146(서둔동),37.2722007879,126.9859134145,,정시,영업,20231219
600,서부주유소,공중화장실,공중화장실,경기도 수원시 팔달구 수성로 188 (화서동),37.286890186,126.9935186827,,정시,영업,20231219
601,서수원도서관,공중화장실,공중화장실,경기도 수원시 권선구 탑동로 57번길 35(탑동),37.2727388601,126.9709647281,,정시,영업,20231219
602,서수원주유소,공중화장실,공중화장실,경기도 수원시 권선구 서부로 1963 (구운동),37.2837900856,126.9689921843,,상시,영업,20231219
603,서수원터미널,공중화장실,공중화장실,경기도 수원시 권선구 수인로 291(구운동),37.2826692976,126.9703199061,,정시,영업,20231219
604,서호노인복지관 1층,공중화장실,공중화장실,경기도 수원시 권선구 구운로 4번길 34(구운동),37.2785221921,126.976237194,,정시,영업,20231219
605,서호노인복지관 2층,공중화장실,공중화장실,경기도 수원시 권선구 구운로 4번길 34(구운동),37.2785221921,126.976237194,,정시,영업,20231219
606,광교노인복지관 4층,공중화장실,공중화장실,경기도 수원시 영통구 센트럴타운로 22(이의동),37.2894164551,127.0570407171,,정시,영업,20231219
607,광교종합사회복지관,공중화장실,공중화장실,"경기도 수원시 영통구 대학2로 41, 광교종합사회복지관 (이의동)",37.299346481,127.0466470126,,정시,영업,20231219
608,구운1호,공중화장실,공중화장실,경기도 수원시 권선구 구운로86번길 20-21(구운동),37.2798259714,126.9734757611,,정시,영업,20231219
609,권선1동행정복지센터,공중화장실,공중화장실,경기도 수원시 권선구 경수대로352번길29(권선동),37.2577418593,127.0246017311,,정시,영업,20231219
610,성빈센트병원,공중화장실,공중화장실,"경기도 수원시 팔달구 중부대로 93, 성빈센트병원 (지동)",37.2778994265,127.0274529236,,정시,영업,20231219
611,세류지구대,공중화장실,공중화장실,경기도 수원시 권선구 정조로 370(세류동),37.2427407555,127.0152476766,,상시,영업,20231219
612,수원SK아트리움,공중화장실,공중화장실,경기도 수원시 장안구 이목로 24-25 수원SK아트리움(정자동),37.308851061,126.9858671084,,정시,영업,20231219
613,수원병원본관1층북쪽,공중화장실,공중화장실,"경기도 수원시 장안구 수성로245번길 69, 경기도립수원의료원 (정자동)",37.2918869067,126.9963395675,,정시,영업,20231219
